polpa_4615	POLYSPHONDYLIUM_PALLIDUM	xxxx	POLPA
ponpy_1789	PONGO_PYGMAEUS	9601	PONAB
poptr_3074	POPULUS_TRICHOCARPA	3694	POPTR
pospl_2771	POSTIA_PLACENTA	XXXX	POSPM
pripa_1793	PRISTIONCHUS_PACIFICUS	54126	PRIPA
proca_4057	PROCAVIA_CAPENSIS	9813	PROCA
proma_4702	PROCHLOROCOCCUS_MARINUS_AS9601	XXXX	PROMA
prupe_3619	PRUNUS_PERSICA	xxxx	PRUPE
psepu_5677	PSEUDOMONAS_PUTIDA_F1	XXXX	PSEP1
pteva_4058	PTEROPUS_VAMPYRUS	132908	PTEVA
pucgr_1921	PUCCINIA_GRAMINIS_F._SP._TRITICI	5297	PUCGT
pyrho_5333	PYROCOCCUS_HORIKOSHII	XXXX	PYRHO
pyrne_5578	PYROBACULUM_NEUTROPHILUM	XXXX	PYRNV
pyrte_5781	PYRENOPHORA_TERES_F._TERES	XXXX	PYRTE
pyrtr_5809	PYRENOPHORA_TRITICI-REPENTIS_PT-1C-BFP	XXXX	PYRTR
orycu_9	ORYCTOLAGUS_CUNICULUS	9986	RABIT
ratno_367	RATTUS_NORVEGICUS	10116	RATNO
rhior_1924	RHIZOPUS_ORYZAE	64495	RHIOR
rhyru_5782	RHYTIDHYSTERON_RUFULUM	XXXX	RHYRU
ricco_3916	RICINUS_COMMUNIS	xxxx	RICCO
rutma_5665	CANDIDATUS_RUTHIA_MAGNIFICA_STR._CM	XXXX	RUTMC
sacba_3137	SACCHAROMYCES_BAYANUS_623-6C	XXXX	SACBA
sacca_3138	SACCHAROMYCES_CASTELLI	XXXX	SACCA
sackl_3139	SACCHAROMYCES_KLUYVERI	xxxx	SACKL
sacku_3140	SACCHAROMYCES_KUDRIAVZEVII	xxxx	SACKU
sacmi_3141	SACCHAROMYCES_MIKATAE	xxxx	SACMI
sacpa_3142	SACCHAROMYCES_PARADOXUS	xxxx	SACPA
sappa_4614	SAPROLEGNIA_PARASITICA	xxxx	SAPPA
sarha_5377	SARCOPHILUS_HARRISII	9305	SARHA
schco_1926	SCHIZOPHYLLUM_COMMUNE	5334	SCHCO
schja_3143	SCHIZOSACCHAROMYCES_JAPONICUS	xxxx	SCHJA
schma_370	SCHISTOSOMA_MANSONI	6183	SCHMA
schoc_4236	SCHIZOSACCHAROMYCE_OCTOSPORUS	XXXX	SCHOC
schpo_2340	SCHIZOSACCHAROMYCES_POMBE	284812	SCHPO
